SimID,BranchPredictor,BP_Type,L1I,L1D,L2,L3,BTB,ALU,ROB,PipelineWidth,SimSeconds,CPI,IPC,ExitCode,ConfigName,BTBMispredicted,BranchMispredicts,Rank
699,TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,3,192,8,0.080517,1.42119,0.703636,0,"TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,3,192",66516.0,4021431.0,1
696,TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,3,128,8,0.12742,1.321551,0.756687,0,"TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,3,128",95511.0,5684542.0,2
480,TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,16384,3,128,8,0.127522,1.322611,0.75608,0,"TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,16384,3,128",38754.0,5667559.0,3
486,TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,16384,3,256,8,0.127527,1.322667,0.756048,0,"TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,16384,3,256",38786.0,5670665.0,4
483,TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,16384,3,192,8,0.127534,1.322734,0.75601,0,"TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,16384,3,192",38786.0,5670819.0,5
687,TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,2,128,8,0.127543,1.322832,0.755954,0,"TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,2,128",95449.0,5686705.0,6
690,TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,2,192,8,0.127573,1.323138,0.755779,0,"TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,2,192",95397.0,5692234.0,7
693,TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,2,256,8,0.127587,1.323292,0.755691,0,"TAGE_SC_L_64KB,8,32kB,32kB,512kB,4MB,8192,2,256",95399.0,5692055.0,8
456,TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,8192,3,192,8,0.127611,1.32354,0.755549,0,"TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,8192,3,192",95669.0,5685468.0,9
459,TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,8192,3,256,8,0.127616,1.323584,0.755524,0,"TAGE_SC_L_64KB,8,32kB,32kB,256kB,4MB,8192,3,256",95550.0,5687651.0,10
